Transaction_ID,Date,Customer_ID,Gender,Age,City,Product_Category,Unit_Price,Quantity,Payment_Method,Customer_Rating,Total_Sales
1021,2023-01-03,C-9989,,46,New York,Laptop,1409.39,1,Bank Transfer,5.0,1409.39
1022,2023-08-17,C-8333,F,38,,Smartwatch,199.27,1,Debit Card,5.0,199.27
1023,2023-01-21,C-4433,M,46,,Monitor,289.94,1,Cash,4.0,289.94
1024,2024-07-08,C-5539,NB,44,Berlin,Keyboard,135.34,1,Cash,3.0,135.34
1025,2023-11-26,C-4356,Non-Binary,51,London,Monitor,203.82,2,Cash,2.0,407.64
1026,2023-03-17,C-2936,Non-Binary,39,London,Smartwatch,331.29,1,Bank Transfer,3.0,331.29
1027,Not Available,C-8686,Male,53,London,Monitor,385.23,1,Cash,3.0,385.23
1028,2024-11-26,C-586,M,36,Toronto,Monitor,291.46,1,Credit Card,3.0,291.46
1029,2024-11-02,C-9470,Female,31,Toronto,Keyboard,137.98,1,Cash,5.0,137.98
1030,2023-02-14,C-5121,Male,52,Toronto,Keyboard,49.74,1,,,49.74
1031,2023-05-28,C-2966,NB,28,Singapore,Smartwatch,186.93,1,PayPal,5.0,186.93
1032,18/07/2023,C-5470,,45,Toronto,Mouse,66.26,1,Debit Card,5.0,66.26
1033,2023-06-18,C-7339,Female,38,London,Tablet,824.79,1,PayPal,4.0,824.79
1034,2023-04-20,C-7032,Male,26,Singapore,Laptop,1187.49,1,PayPal,1.0,1187.49
1035,2023-11-05,C-3754,M,31,Berlin,Monitor,518.11,3,Cash,5.0,1554.33
1036,24/01/2023,C-4351,M,35,New York,Headphones,142.7,1,Bank Transfer,,142.7
1037,2023-08-26,C-4951,M,32,Singapore,Headphones,62.36,1,,3.0,62.36
1038,2023-01-30,C-425,Non-Binary,33,Paris,Smartphone,970.67,2,Credit Card,2.0,1941.34
1039,2024-05-26,C-9069,M,39,Singapore,Smartphone,799.99,5,Credit Card,5.0,3999.95
1040,2023-09-11,C-7226,,11,London,Mouse,29.94,1,Credit Card,5.0,29.94
1041,2024-07-13,C-5381,Non-Binary,34,Tokyo,Smartphone,1070.52,1,Debit Card,4.0,1070.52
1042,2023-10-05,C-5482,M,32,Singapore,Headphones,69.12,1,PayPal,4.0,69.12
1043,2024-06-29,C-6275,Female,38,Berlin,Smartwatch,395.7,1,Debit Card,5.0,395.7
1044,2024-03-11,C-9299,Male,48,Singapore,Laptop,1203.98,2,Credit Card,4.0,2407.96
1045,2023-12-13,C-1627,F,44,Toronto,Keyboard,67.81,1,Cash,3.0,67.81
1046,2024-07-28,C-5105,Female,42,Tokyo,Smartwatch,127.09,2,Bank Transfer,5.0,254.18
1047,2023-06-30,C-5682,F,61,London,Laptop,1345.33,1,Debit Card,3.0,1345.33
1048,2024-07-08,C-7877,Female,36,,Mouse,57.43,1,PayPal,5.0,57.43
1049,2023-07-18,C-2095,Female,28,New York,Smartphone,963.3,1,Credit Card,3.0,963.3
1050,2023-04-19,C-2860,M,22,New York,Mouse,58.37,1,Credit Card,3.0,58.37
1051,2023-01-09,C-2570,M,40,Toronto,Tablet,855.71,1,Cash,3.0,855.71
1052,2024-02-07,C-8181,Male,25,London,Tablet,847.29,3,,5.0,2541.87
1053,2024-08-25,C-9221,,31,Paris,Smartphone,683.74,1,PayPal,,683.74
1054,11/05/2023,C-1082,Non-Binary,37,Tokyo,Headphones,173.01,1,Debit Card,1.0,173.01
1055,2024-08-04,C-1397,Male,50,Berlin,Mouse,16.52,3,PayPal,2.0,49.56
1056,2023-07-17,C-6683,Non-Binary,38,Paris,Mouse,33.73,1,Debit Card,3.0,33.73
1057,2024-06-06,C-2968,Non-Binary,44,Paris,SmrtWatch,476.68,3,Debit Card,3.0,1430.04
1058,2023-10-10,C-3444,Female,38,,Keyboard,103.46,1,Cash,,103.46
1059,2023-03-06,C-4331,F,39,London,Monitor,222.73,3,Bank Transfer,5.0,668.1899999999999
1060,2023-06-07,C-3486,Female,38,Berlin,Mouse,10.35,1,Bank Transfer,3.0,10.35
1061,2024-02-01,C-5145,Male,26,,Monitor,396.93,1,Credit Card,4.0,396.93
1062,2023-08-18,C-8329,F,20,Singapore,Laptop,2010.7,1,PayPal,1.0,3016.05
1063,2024-04-02,C-3814,Non-Binary,42,Paris,Headphones,117.86,2,Debit Card,5.0,353.58
1064,2024-01-18,C-1431,NB,46,Tokyo,Monitor,445.93,1,Credit Card,3.0,445.93
1065,2023-02-15,C-1546,NB,39,Toronto,Smartphone,503.04,1,Credit Card,1.0,503.04
1066,2024-01-26,C-6640,M,24,London,Tablet,881.11,1,Cash,3.0,881.11
1067,12/11/2024,C-8360,NB,25,Paris,Headphones,270.85,1,Bank Transfer,5.0,270.85
1068,2023-03-05,C-5114,Non-Binary,35,New York ,Laptop,1780.74,1,Debit Card,4.0,1780.74
1069,2024-01-24,C-9334,Male,52,Toronto,Tablet,336.67,2,paypal,5.0,673.34
1070,2023-08-31,C-5182,Non-Binary,22,Sydney,Laptop,2398.78,5,Bank Transfer,,11993.900000000001
1071,2024-08-17,C-3909,M,40,Paris,Smartphone,1406.35,1,Credit Card,4.0,1406.35
1072,2023-05-13,C-2163,Male,40,Toronto,Headphones,290.18,3,Bank Transfer,2.0,870.54
1073,Not Available,C-3577,Male,34,Berlin,Mouse,30.61,1,Credit Card,3.0,30.61
1074,2023-09-17,C-3011,Non-Binary,29,London,Keyboard,42.03,1,PayPal,2.0,42.03
1075,2023-10-07,C-4736,Female,45,Sydney,Monitor,571.27,1,Credit Card,1.0,571.27
1076,2024-05-22,C-2591,NB,24,New York,Laptop,1845.51,10,Bank Transfer,,18455.1
1077,05/10/2024,C-9934,Female,36,Toronto,Smartwatch,142.03,1,Credit Card,4.0,142.03
1078,2024-08-22,C-6602,M,39,Berlin,Keyboard,110.61,2,Debit Card,,221.22
1079,2024-09-06,C-3111,Male,41,Singapore,Keyboard,66.73,1,Debit Card,,66.73
1080,2023-06-03,C-6750,M,41,New York,Headphones,264.11,4,Credit Card,5.0,1056.44
1081,2024-08-31,C-3141,Male,41,Singapore,Smartwatch,253.4,1,Debit Card,,253.4
1082,2024-12-01,C-4818,Non-Binary,41,Sydney,Mouse,59.14,2,Cash,4.0,118.28
1083,2024-01-13,C-2157,Non-Binary,48,Berlin,Mouse,72.3,1,PayPal,3.0,72.3
1084,2023-10-28,C-8155,Male,25,Berlin,Smartwatch,273.48,1,Cash,4.0,273.48
1085,2024-06-07,C-5692,Non-Binary,32,Toronto,Tablet,525.92,1,Cash,5.0,525.92
1086,2024-08-28,C-4568,Female,43,Toronto,Tablet,221.35,1,PayPal,4.0,221.35
1087,18/05/2023,C-8387,M,15,Toronto,Laptop,2198.42,1,PayPal,,2198.42
1088,2024-04-03,C-3713,M,35,Berlin,Smartphone,1246.99,1,Credit Card,5.0,1246.99
1089,2024-08-20,C-4364,Male,22,New York,Smartphone,1085.18,1,Cash,1.0,1085.18
1090,2023-10-04,C-9736,Female,35,Berlin,Smartwatch,262.19,1,,4.0,262.19
1091,2023-07-29,C-9635,NB,27,Tokyo,Mouse,60.83,5,Debit Card,4.0,304.15
1092,2024-01-27,C-2099,Non-Binary,10,Paris,Laptop,2151.82,1,Cash,4.0,2151.82
1093,2023-04-30,C-2310,F,37,Tokyo,Smartphone,882.87,1,Credit Card,5.0,882.87
1094,2023-02-08,C-6950,NB,41,New York,Headphones,140.42,1,Cash,4.0,140.42
1095,2024-07-06,C-2908,Non-Binary,45,Paris,Keyboard,40.34,1,,4.0,40.34
1096,2023-12-13,C-8120,Non-Binary,56,Sydney,Mouse,56.21,1,Cash,2.0,56.21
1097,2023-05-08,C-2137,Non-Binary,39,Toronto,Monitor,579.69,2,Credit Card,,1159.38
1098,2024-01-31,C-7843,NB,60,Paris,Tablet,493.72,1,Bank Transfer,3.0,493.72
1099,2023-08-30,C-1919,F,47,New York ,Monitor,310.19,2,PayPal,3.0,620.38
1100,2024-11-12,C-7682,F,40,Paris,Smartphone,921.59,1,Debit Card,,921.59
1101,Not Available,C-5494,F,44,New York,Monitor,371.23,1,PayPal,,371.23
1102,2024-01-27,C-5364,Male,31,Berlin,Monitor,329.33,1,Bank Transfer,1.0,329.33
1103,2023-12-26,C-8234,Female,20,Tokyo,Keyboard,102.56,1,Cash,,102.56
1104,2023-03-26,C-2014,Male,52,London,Monitor,376.41,3,Debit Card,3.0,1129.23
1105,2023-02-08,C-7341,NB,17,Sydney,Laptop,1919.78,1,PayPal,4.0,1919.78
1106,Not Available,C-9604,M,37,Sydney,Smartphone,429.16,1,PayPal,5.0,429.16
1107,2023-05-08,C-9400,F,27,Tokyo,Monitor,573.1,1,Bank Transfer,4.0,573.1
1108,2024-01-14,C-2816,Non-Binary,54,New York,Mouse,42.08,1,Credit Card,4.0,42.08
1109,2023-09-13,C-2565,Female,20,Sydney,Tablet,859.03,1,Bank Transfer,4.0,859.03
1110,2024-03-01,C-8493,Male,38,Berlin,Keyboard,29.25,1,Bank Transfer,4.0,29.25
1111,2024-01-21,C-7117,M,27,Tokyo,Laptop,2236.29,1,Cash,,2236.29
1112,2023-03-04,C-4522,F,27,Sydney,Monitor,203.17,1,Credit Card,4.0,203.17
1113,2024-10-22,C-7258,Male,45,London,Monitor,433.02,3,PayPal,4.0,1299.06
1114,2024-09-12,C-1864,Non-Binary,44,Sydney,Mouse,29.74,1,Debit Card,1.0,29.74
1115,25/12/2024,C-6366,NB,42,Sydney,Tablet,725.43,2,Cash,4.0,1450.86
1116,2024-06-28,C-9193,Female,34,Tokyo,Monitor,317.41,2,Debit Card,5.0,634.82
1117,15/11/2024,C-5519,Male,36,Toronto,Keyboard,64.3,4,Debit Card,1.0,257.2
1118,2024-02-04,C-1324,NB,32,Berlin,Mouse,62.56,2,PayPal,5.0,125.12
1119,2024-06-26,C-3925,Male,48,London,Headphones,57.84,4,PayPal,4.0,231.36
1120,2023-12-14,C-1823,F,50,Tokyo,Mouse,32.4,3,Cash,2.0,97.19999999999999
1121,2024-08-11,C-1188,M,35,New York ,Laptop,1461.64,1,Cash,5.0,1461.64
1122,11/04/2023,C-9992,F,38,Sydney,Smartwatch,385.18,1,Bank Transfer,5.0,385.18
1123,2023-05-27,C-1693,NB,33,Singapore,Tablet,642.29,1,paypal,5.0,642.29
1124,2024-04-22,C-6732,Female,22,New York,Mouse,57.08,2,PayPal,4.0,114.16
1125,2023-10-28,C-6698,F,20,Paris,Headphones,243.73,2,Debit Card,5.0,487.46
1126,2023-10-22,C-819,F,34,Sydney,Mouse,14.03,1,Cash,4.0,14.03
1127,2023-12-04,C-4385,NB,24,London,Monitor,348.69,3,Bank Transfer,1.0,1046.07
1128,2024-02-28,C-2376,Male,25,Berlin,Smartwatch,142.9,2,Cash,5.0,285.8
1129,27/01/2024,C-7465,NB,31,Paris,Monitor,428.2,1,Credit Card,4.0,428.2
1130,2024-06-12,C-1221,Female,37,Singapore,Tablet,250.93,2,Debit Card,4.0,501.86
1131,2024-09-21,C-5017,Female,28,London,Tablet,694.37,1,PayPal,1.0,694.37
1132,2024-08-18,C-8138,Non-Binary,17,,Mouse,66.9,4,Debit Card,3.0,267.6
1133,2024-10-29,C-6286,Male,18,Toronto,Mouse,79.02,2,Credit Card,2.0,158.04
1134,2024-04-26,C-9896,,26,London,Headphones,239.83,1,Bank Transfer,2.0,239.83
1135,2023-07-11,C-7967,Non-Binary,32,Sydney,Laptop,1521.18,4,Cash,2.0,6084.72
1136,2023-10-16,C-8193,F,34,Tokyo,Laptop,819.3,1,,4.0,819.3
1137,2024-08-04,C-8256,Non-Binary,22,Singapore,Keyboard,27.32,1,PayPal,3.0,27.32
1138,2024-02-10,C-6906,Male,38,,Smartphone,1220.65,1,Bank Transfer,3.0,1830.9750000000001
1139,2023-04-19,C-8777,F,25,,Headphones,289.79,1,Credit Card,3.0,289.79
1140,2023-09-10,C-7242,Male,43,Singapore,Smartphone,645.96,5,Cash,4.0,3229.8
1141,03/09/2024,C-2458,Male,30,Tokyo,Smartphone,413.37,5,,2.0,2066.85
1142,2023-01-30,C-2435,F,37,Tokyo,Keyboard,29.59,1,PayPal,3.0,29.59
1143,2023-08-07,C-4099,Female,35,Singapore,Tablet,878.51,1,Bank Transfer,4.0,878.51
1144,2024-01-13,C-6434,F,52,Tokyo,Laptop,1572.72,1,Bank Transfer,3.0,1572.72
1145,2024-09-06,C-5826,F,46,New York,Laptop,1793.33,4,Credit Card,3.0,7173.32
1146,2023-02-13,C-8346,Non-Binary,61,Sydney,Headphones,104.89,1,PayPal,,104.89
1147,2023-07-30,C-7475,M,25,London,Laptop,1588.29,1,Credit Card,5.0,1588.29
1148,2023-08-15,C-8466,Non-Binary,25,Toronto,Headphones,293.09,10,PayPal,5.0,2930.8999999999996
1149,2023-04-16,C-4155,Male,36,Sydney,Smartphone,1167.98,1,Cash,3.0,1167.98
1150,2024-04-03,C-8919,Female,46,Sydney,Monitor,458.13,1,Cash,3.0,458.13
1151,2024-10-22,C-3168,Non-Binary,28,New York,Smartphone,1402.02,2,Credit Card,,2804.04
1152,2023-08-18,C-1285,Non-Binary,19,Tokyo,Smartwatch,379.82,3,,1.0,1139.46
1153,2023-07-05,C-3200,Non-Binary,56,Singapore,Mouse,13.17,1,Cash,1.0,13.17
1154,2023-10-13,C-9612,F,49,New York,Headphones,296.56,1,Debit Card,5.0,296.56
1155,2024-07-21,C-1807,M,29,Sydney,Headphones,190.42,1,Credit Card,4.0,190.42
1156,2023-10-28,C-9148,NB,33,,Smartwatch,224.45,1,Credit Card,3.0,224.45
1157,2024-06-23,C-6812,Female,49,Singapore,Tablet,239.46,3,PayPal,5.0,718.38
1158,2024-08-11,C-673,M,35,Sydney,Mouse,63.83,4,Bank Transfer,3.0,255.32
1159,2024-07-19,C-6248,F,35,Berlin,Headphones,259.4,5000,Debit Card,3.0,1297000.0
1160,25/11/2024,C-9417,M,22,Singapore,Keyboard,144.03,1,paypal,4.0,144.03
1161,2023-07-11,C-3601,Female,33,Berlin,Keyboard,49.72,1,Credit Card,3.0,49.72
1162,2023-03-18,C-8721,Male,16,London,Monitor,201.1,1,Debit Card,3.0,201.1
1163,2023-02-10,C-2674,M,50,Tokyo,Tablet,564.22,2,Credit Card,4.0,1128.44
1164,2024-11-14,C-2722,Female,49,Tokyo,Monitor,398.36,1,Credit Card,4.0,398.36
1165,2024-01-14,C-3287,M,35,Tokyo,Keyboard,133.96,1,Credit Card,4.0,133.96
1166,2023-12-29,C-946,F,42,New York,Smartphone,1174.49,1,Bank Transfer,3.0,1174.49
1167,14/03/2023,C-9315,Male,51,Tokyo,Mouse,19.55,1,Cash,5.0,19.55
1168,2024-09-16,C-5615,Non-Binary,47,Sydney,Mouse,37.46,1,Cash,,37.46
1169,2023-05-13,C-4760,F,13,Berlin,Keyboard,137.54,1,Debit Card,5.0,137.54
1170,2024-09-29,C-181,M,53,New York,Laptop,1474.12,1,Cash,4.0,1474.12
1171,2023-03-01,C-1801,Non-Binary,35,Berlin,Tablet,803.65,4,Credit Card,2.0,3214.6
1172,2023-07-08,C-2499,F,14,Berlin,Headphones,153.97,10,paypal,5.0,1539.7
1173,2023-08-23,C-8372,Male,34,London,Headphones,163.01,1,Bank Transfer,,163.01
1174,2023-04-14,C-6336,F,19,London,Keyboard,29.86,1,Bank Transfer,4.0,29.86
1175,2023-10-30,C-1945,M,43,Sydney,Smartwatch,138.41,1,Cash,3.0,138.41
1176,2023-03-31,C-6106,F,39,Singapore,Keyboard,43.64,1,PayPal,,43.64
1177,2024-10-22,C-976,Female,23,New York,Monitor,553.55,1,Credit Card,5.0,553.55
1178,07/01/2023,C-5750,F,23,Singapore,Keyboard,45.0,1,Credit Card,5.0,45.0
1179,2023-05-07,C-3668,Male,41,New York,Keyboard,41.96,1,Credit Card,5.0,41.96
1180,2023-08-27,C-9169,Non-Binary,33,London,Laptop,1150.77,1,Credit Card,3.0,1150.77
1181,2023-04-27,C-452,M,22,Singapore,SmrtWatch,45.24,1,Credit Card,5.0,45.24
1182,2024-06-09,C-2508,M,26,London,Tablet,811.51,4,Credit Card,3.0,3246.04
1183,2023-11-05,C-5743,Non-Binary,37,Tokyo,Keyboard,27.94,1,Cash,5.0,27.94
1184,2024-08-27,C-9512,Non-Binary,42,Singapore,Laptop,1113.69,1,Cash,3.0,1113.69
1185,2023-12-15,C-3827,Female,44,New York,Tablet,459.33,1,Debit Card,3.0,459.33
1186,2023-11-02,C-8354,F,16,Sydney,Headphones,154.88,2,Credit Card,1.0,309.76
1187,14/12/2023,C-7708,NB,51,Berlin,Smartwatch,111.0,1,Cash,5.0,111.0
1188,2023-11-28,C-9981,NB,41,Paris,Smartphone,962.85,1,Bank Transfer,,962.85
1189,2023-04-05,C-8134,Female,38,Berlin,SmrtWatch,33.93,1,Debit Card,5.0,33.93
1190,2024-11-17,C-6516,Male,15,,Smartphone,696.17,1,Credit Card,5.0,696.17
1191,2024-08-15,C-5447,NB,37,London,Headphones,35.42,1,Bank Transfer,4.0,35.42
1192,2023-04-15,C-7956,NB,27,Berlin,Tablet,283.83,3,PayPal,1.0,851.49
1193,2024-09-16,C-3435,Male,22,Tokyo,Laptop,1809.11,1,Debit Card,3.0,2713.665
1194,2023-07-02,C-3969,Female,34,Toronto,Smartphone,495.61,1,Bank Transfer,4.0,495.61
1195,2024-10-18,C-8525,Non-Binary,52,Berlin,Smartwatch,276.05,2,Credit Card,3.0,552.1
1196,2023-07-03,C-5641,Non-Binary,22,Singapore,Smartwatch,185.13,1,Bank Transfer,,185.13
1197,2024-03-26,C-7088,Female,32,,Smartwatch,293.78,1,Credit Card,2.0,293.78
1198,2023-09-11,C-2674,NB,18,Berlin,Monitor,195.8,1,PayPal,5.0,195.8
1199,Not Available,C-7235,F,41,Sydney,Smartwatch,173.79,1,PayPal,3.0,173.79
1200,2023-09-12,C-7484,NB,27,Berlin,Keyboard,42.54,3,PayPal,3.0,127.62
1201,2023-10-01,C-4473,Female,24,London,Keyboard,30.43,1,Bank Transfer,2.0,30.43
1202,2023-08-08,C-3921,Female,38,Paris,Smartphone,523.24,1,PayPal,5.0,523.24
1203,2023-07-07,C-6133,Female,34,New York,Smartwatch,390.84,3,Bank Transfer,5.0,1172.52
1204,2024-10-12,C-8139,Non-Binary,28,,Smartwatch,151.27,1,Credit Card,5.0,151.27
1205,2023-02-22,C-502,,44,Sydney,Smartphone,1422.31,1,paypal,1.0,1422.31
1206,2023-05-12,C-4294,Female,14,Toronto,Headphones,237.76,1,PayPal,5.0,237.76
1207,2023-03-19,C-5808,NB,41,Tokyo,Headphones,117.39,1,PayPal,5.0,117.39
1208,2024-09-22,C-8985,Female,15,Tokyo,Mouse,18.04,1,paypal,1.0,18.04
1209,2024-08-10,C-8903,Female,35,Toronto,Tablet,402.04,1,Credit Card,3.0,402.04
1210,2023-10-26,C-2438,F,34,Paris,Smartphone,985.85,1,Debit Card,5.0,985.85
1211,2024-02-09,C-2693,Female,20,Paris,Monitor,301.47,1,Cash,5.0,301.47
1212,29/09/2024,C-1460,M,47,New York,Tablet,378.25,1,Bank Transfer,1.0,378.25
1213,12/06/2023,C-4416,Male,28,Tokyo,Laptop,2092.39,1,Credit Card,4.0,2092.39
1214,2024-04-26,C-5275,Male,5,Sydney,Mouse,34.42,4,Bank Transfer,5.0,137.68
1215,2024-10-19,C-1033,Female,25,New York,Laptop,2212.05,5,Credit Card,2.0,11060.25
1216,2024-11-07,C-9133,F,39,Tokyo,Tablet,856.84,1,,5.0,856.84
1217,2024-09-29,C-1007,NB,27,New York,Smartwatch,119.95,2,Debit Card,2.0,239.9
1218,2024-07-01,C-7564,F,49,,Monitor,212.9,2,Debit Card,4.0,425.8
1219,2023-12-24,C-9472,F,38,New York,Smartwatch,160.49,1,Debit Card,3.0,160.49
1220,2023-01-19,C-5847,Male,39,Singapore,Monitor,449.34,1,Bank Transfer,5.0,449.34
1221,2023-10-17,C-6864,Non-Binary,29,Sydney,Tablet,451.18,3,Credit Card,3.0,1353.54
1222,12/10/2024,C-5731,NB,49,Paris,Mouse,40.74,1,Debit Card,,40.74
1223,2024-01-08,C-3746,Female,30,Toronto,Smartphone,908.95,1,Bank Transfer,2.0,908.95
1224,23/06/2024,C-5284,F,35,Berlin,Tablet,362.55,3,Credit Card,4.0,1087.65
1225,Not Available,C-7980,F,55,New York,Tablet,468.72,1,PayPal,3.0,468.72
1226,2024-01-19,C-8520,M,37,Toronto,Smartphone,528.59,4,PayPal,4.0,2114.36
1227,2023-11-14,C-3979,M,44,London,Monitor,432.47,1,Cash,2.0,432.47
1228,2024-04-06,C-3120,Female,39,Singapore,Smartwatch,286.02,1,PayPal,5.0,286.02
1229,2023-11-05,C-278,F,30,Tokyo,Mouse,72.57,2,,4.0,145.14
1230,2024-03-27,C-266,Male,29,London,Tablet,373.94,2,Debit Card,2.0,747.88
1231,2024-03-03,C-5568,NB,24,New York,Smartphone,436.89,1,Credit Card,4.0,436.89
1232,2024-08-02,C-9408,F,40,New York,Tablet,439.46,2,Debit Card,4.0,878.92
1233,31/07/2023,C-6680,Female,39,,Tablet,277.44,2,Debit Card,3.0,554.88
1234,2023-12-09,C-349,F,31,Sydney,Monitor,508.78,1,Credit Card,3.0,508.78
1235,2024-05-15,C-215,Female,23,Toronto,Headphones,91.9,2,Bank Transfer,3.0,183.8
1236,2023-12-07,C-1179,M,45,Berlin,Smartphone,1163.34,1,Debit Card,3.0,1163.34
1237,2023-03-25,C-5145,M,51,Tokyo,Mouse,27.63,1,Cash,3.0,27.63
1238,2024-08-10,C-8753,Female,13,Berlin,Smartwatch,238.6,4,Debit Card,3.0,954.4
1239,2023-04-16,C-5788,Non-Binary,52,New York,Headphones,71.4,1,Bank Transfer,4.0,71.4
1240,2023-03-01,C-5867,F,64,Paris,Laptop,830.79,3,Debit Card,3.0,2492.37
1241,2023-11-29,C-3981,NB,36,,Mouse,75.25,1,Debit Card,2.0,75.25
1242,2023-08-03,C-9827,Male,40,New York,Keyboard,111.94,1,,3.0,111.94
1243,2023-11-17,C-817,Non-Binary,37,New York ,Headphones,185.6,1,Credit Card,2.0,185.6
1244,2023-08-02,C-2916,F,54,Paris,Monitor,570.47,4,,4.0,3422.82
1245,2023-03-13,C-9306,NB,28,Berlin,Headphones,151.73,1,Bank Transfer,,151.73
1246,2024-03-29,C-6302,NB,35,New York,Headphones,189.64,1,Credit Card,4.0,189.64
1247,03/12/2023,C-2110,NB,48,New York,Monitor,174.64,1,PayPal,5.0,174.64
1248,2023-04-03,C-1515,NB,22,Toronto,Headphones,175.1,4,PayPal,4.0,700.4
1249,2023-11-27,C-5893,M,15,Tokyo,Laptop,1388.79,1,PayPal,5.0,1388.79
1250,2023-04-17,C-3174,Male,30,Sydney,Keyboard,49.2,1,Cash,5.0,49.2
1251,2024-01-07,C-5818,,55,Singapore,Smartphone,554.94,1,Credit Card,,554.94
1252,2023-04-06,C-7513,Male,2,Toronto,Keyboard,138.93,1,Debit Card,1.0,138.93
1253,2024-03-05,C-6848,Male,34,Toronto,Tablet,606.41,1,Credit Card,,606.41
1254,2024-08-26,C-3273,Non-Binary,31,Singapore,Smartphone,493.88,10,Cash,,4938.8
1255,2023-12-21,C-4642,M,21,Paris,Headphones,165.59,1,PayPal,5.0,165.59
1256,2024-10-25,C-5214,Female,35,Singapore,Mouse,24.69,3,,3.0,74.07000000000001
1257,2023-01-10,C-1096,Female,34,London,Smartwatch,161.54,1,Debit Card,4.0,161.54
1258,05/10/2024,C-6884,M,34,Singapore,Smartphone,1021.33,1,Debit Card,,1021.33
1259,31/08/2023,C-843,M,28,Sydney,Smartwatch,332.66,1,Credit Card,4.0,332.66
1260,2024-08-24,C-6664,Non-Binary,3,,Mouse,38.05,1,Debit Card,,38.05
1261,2024-03-19,C-2319,F,48,Berlin,Monitor,219.86,1,Bank Transfer,4.0,219.86
1262,2023-12-12,C-6126,Non-Binary,18,Toronto,Smartwatch,293.2,1,Cash,3.0,293.2
1263,2024-11-25,C-7690,F,25,Tokyo,Smartphone,427.92,1,,1.0,427.92
1264,2023-02-14,C-9557,Non-Binary,46,New York,Smartphone,429.81,1,Cash,3.0,429.81
1265,2023-01-04,C-8931,F,50,Berlin,Tablet,361.75,1,Debit Card,5.0,361.75
1266,2024-12-25,C-7583,NB,28,Paris,Monitor,443.74,1,Debit Card,4.0,443.74
1267,2024-01-10,C-5799,Female,40,Toronto,Mouse,16.96,1,Bank Transfer,2.0,16.96
1268,22/08/2024,C-6361,Male,43,Tokyo,Mouse,68.12,1,Cash,4.0,68.12
1269,2023-07-13,C-6792,Female,40,Berlin,Keyboard,106.85,1,Bank Transfer,4.0,106.85
1270,2023-01-08,C-9646,M,42,Toronto,Monitor,155.85,1,Debit Card,5.0,155.85
1271,2023-04-11,C-5056,Female,31,,Mouse,24.55,1,,4.0,24.55
1272,2024-06-23,C-1420,,38,Toronto,Monitor,339.64,3,Cash,3.0,1018.92
1273,2023-09-07,C-1492,M,19,Paris,Tablet,-100.0,1,Bank Transfer,4.0,-100.0
1274,2024-02-13,C-5407,F,26,London,Smartwatch,277.09,1,Credit Card,5.0,277.09
1275,2023-09-25,C-5872,F,18,Sydney,Tablet,636.9,1,Credit Card,3.0,636.9
1276,2024-04-12,C-7538,Male,10,Singapore,Headphones,109.51,4,,5.0,438.04
1277,2023-04-16,C-4630,M,55,Toronto,Keyboard,119.27,1,PayPal,1.0,119.27
1278,2024-08-18,C-5216,NB,34,Singapore,Headphones,271.53,2,Cash,5.0,543.06
